node_id:ID,descriptive_label:string[],iri,:LABEL
obo.FOODON_00002403,food material,http://purl.obolibrary.org/obo/FOODON_00002403,Concept
AND_0,,,AND
obo.ENVO_00010483,environmental material,http://purl.obolibrary.org/obo/ENVO_00010483,Concept
BLANK_0,,,BLANK
obo.CHEBI_33290,food,http://purl.obolibrary.org/obo/CHEBI_33290,Concept
obo.FOODON_00001002,food product,http://purl.obolibrary.org/obo/FOODON_00001002,Concept
Thesaurus.C103180,data standard,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C103180,Concept
obo.OBI_0000658,data representational model,http://purl.obolibrary.org/obo/OBI_0000658,Concept
obo.IAO_0000033,directive information entity,http://purl.obolibrary.org/obo/IAO_0000033,Concept
obo.AGRO_00000025,harvest process,http://purl.obolibrary.org/obo/AGRO_00000025,Concept
obo.AGRO_00002071,agricultural process,http://purl.obolibrary.org/obo/AGRO_00002071,Concept
obo.OBI_0000011,planned process,http://purl.obolibrary.org/obo/OBI_0000011,Concept
obo.AGRO_00000322,treatment,http://purl.obolibrary.org/obo/AGRO_00000322,Concept
obo.AGRO_00000360,experimental site,http://purl.obolibrary.org/obo/AGRO_00000360,Concept
obo.ENVO_01000408,environmental zone,http://purl.obolibrary.org/obo/ENVO_01000408,Concept
obo.BFO_0000029,site,http://purl.obolibrary.org/obo/BFO_0000029,Concept
obo.AGRO_00000363,greenhouse,http://purl.obolibrary.org/obo/AGRO_00000363,Concept
obo.BFO_0000015,process;process,http://purl.obolibrary.org/obo/BFO_0000015,Concept
obo.AGRO_01000020,crop cultivation process,http://purl.obolibrary.org/obo/AGRO_01000020,Concept
obo.APOLLO_SV_00000796,dataset creating,http://purl.obolibrary.org/obo/APOLLO_SV_00000796,Concept
obo.BFO_0000001,entity;entity,http://purl.obolibrary.org/obo/BFO_0000001,Concept
owl.Thing,,http://www.w3.org/2002/07/owl#Thing,Concept
obo.BFO_0000002,continuant;continuant,http://purl.obolibrary.org/obo/BFO_0000002,Concept
BLANK_1,,,BLANK
obo.BFO_0000003,occurrent;occurrent,http://purl.obolibrary.org/obo/BFO_0000003,Concept
obo.BFO_0000004,independent continuant;independent continuant,http://purl.obolibrary.org/obo/BFO_0000004,Concept
BLANK_2,,,BLANK
obo.BFO_0000020,specifically dependent continuant,http://purl.obolibrary.org/obo/BFO_0000020,Concept
obo.BFO_0000031,generically dependent continuant,http://purl.obolibrary.org/obo/BFO_0000031,Concept
obo.BFO_0000006,spatial region,http://purl.obolibrary.org/obo/BFO_0000006,Concept
obo.BFO_0000141,immaterial entity,http://purl.obolibrary.org/obo/BFO_0000141,Concept
obo.BFO_0000008,temporal region,http://purl.obolibrary.org/obo/BFO_0000008,Concept
obo.BFO_0000011,spatiotemporal region,http://purl.obolibrary.org/obo/BFO_0000011,Concept
obo.BFO_0000035,process boundary,http://purl.obolibrary.org/obo/BFO_0000035,Concept
obo.BFO_0000009,two-dimensional spatial region,http://purl.obolibrary.org/obo/BFO_0000009,Concept
obo.BFO_0000028,three-dimensional spatial region,http://purl.obolibrary.org/obo/BFO_0000028,Concept
obo.BFO_0000016,disposition,http://purl.obolibrary.org/obo/BFO_0000016,Concept
obo.BFO_0000017,realizable entity,http://purl.obolibrary.org/obo/BFO_0000017,Concept
obo.BFO_0000023,role,http://purl.obolibrary.org/obo/BFO_0000023,Concept
obo.BFO_0000019,quality,http://purl.obolibrary.org/obo/BFO_0000019,Concept
