cats,category_count
Restaurant,38523
Fast food restaurant,15560
Mexican restaurant,13969
Auto repair shop,13163
Beauty salon,10758
Coffee shop,10487
Tourist attraction,10208
Grocery store,10070
Breakfast restaurant,9815
Cafe,9780
Park,9636
American restaurant,9509
Gas station,9314
Takeout Restaurant,9026
Clothing store,8794
Sandwich shop,8767
Bar,8184
Caterer,8036
Pizza restaurant,7898
Hair salon,7859
Nail salon,7520
Hamburger restaurant,7281
Convenience store,7107
Barber shop,5738
Service establishment,5681
Tire shop,5611
Shoe store,5404
Women's clothing store,5381
Bakery,5379
Cell phone store,5168
ATM,4968
Chinese restaurant,4962
Church,4872
Dentist,4702
Shopping mall,4687
Auto parts store,4618
Hotel,4471
Liquor store,4372
Electronics store,4337
Brake shop,4318
Italian restaurant,4299
Non-profit organization,4298
Gift shop,4288
Oil change service,4288
Asian restaurant,4250
Ice cream shop,3960
Seafood restaurant,3954
Furniture store,3944
Massage therapist,3943
Men's clothing store,3920
Car repair and maintenance,3866
Gym,3639
Corporate office,3637
Auto body shop,3486
Family restaurant,3472
Fashion accessories store,3472
Doctor,3457
Japanese restaurant,3353
Insurance agency,3316
Dessert shop,3297
Event venue,3290
Espresso bar,3279
Pizza delivery,3229
Used car dealer,3211
Car wash,3197
Chicken restaurant,3196
Tobacco shop,3166
Home goods store,3153
Beauty supply store,3151
Supermarket,3129
Sushi restaurant,3070
Business center,3037
Cosmetics store,3012
Bank,2993
Self-storage facility,2976
Smog inspection station,2955
Coffee store,2929
Deli,2903
Store,2884
Bar & grill,2857
Pizza Takeout,2793
Jewelry store,2779
Toy store,2705
Apartment building,2682
Discount store,2657
Apartment complex,2643
Delivery Restaurant,2632
Vegetarian restaurant,2599
Pet groomer,2547
Auto insurance agency,2544
Shipping and mailing service,2543
Laundromat,2516
Department store,2514
Car dealer,2499
Real estate agency,2423
Hardware store,2315
Car battery store,2315
Taco restaurant,2306
Internet cafe,2291
Veterinarian,2272
Cosmetic dentist,2259
Waxing hair removal service,2231
Lunch restaurant,2206
Latin American restaurant,2203
Chicken wings restaurant,2175
Medical clinic,2175
Donut shop,2170
Juice shop,2147
Telephone company,2132
Pharmacy,2096
Children's clothing store,2075
Drug store,2038
Cocktail bar,2017
Hiking area,2016
Thai restaurant,1989
Mechanic,1988
Attorney,1966
Transmission shop,1951
Winery,1944
Wine bar,1908
Wheel alignment service,1906
Campground,1871
Home insurance agency,1868
Sporting goods store,1866
Florist,1840
Vietnamese restaurant,1827
Wine store,1819
Electronic parts supplier,1809
Diner,1796
Mobile home park,1795
Auto tune up service,1786
Moving supply store,1781
Mediterranean restaurant,1781
Produce market,1759
Animal hospital,1749
Chiropractor,1740
Telecommunications service provider,1740
Print shop,1739
Packaging supply store,1721
Plumber,1717
Dental clinic,1709
Fitness center,1701
Pet supply store,1687
Renter's insurance agency,1670
Brunch restaurant,1661
Bus stop,1660
Sports bar,1655
Party store,1652
Spa,1648
Barbecue restaurant,1646
Storage facility,1645
Tea house,1641
Logistics service,1632
Physical fitness program,1630
Home improvement store,1617
Life insurance agency,1614
Optometrist,1611
Dry cleaner,1580
Personal trainer,1575
Property management company,1574
Vegan restaurant,1568
Art gallery,1564
Parking lot,1562
Wedding venue,1556
Thrift store,1526
Craft store,1519
Moving and storage service,1516
Facial spa,1513
Paint store,1512
Towing service,1502
Money order service,1490
Kitchen supply store,1477
Truck accessories store,1471
Health food restaurant,1463
